Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AFH,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. - Ordinary Shares",S,N,N,100.0
AFMD,Affimed N.V.,Affimed N.V. - Common Stock,G,N,N,100.0
AFOP,"Alliance Fiber Optic Products, Inc.","Alliance Fiber Optic Products, Inc. - Common Stock",G,N,N,100.0
AFSI,"AmTrust Financial Services, Inc.","AmTrust Financial Services, Inc. - Common Stock",Q,N,N,100.0
AGEN,Agenus Inc.,Agenus Inc. - Common Stock,S,N,N,100.0
AGII,"Argo Group International Holdings, Ltd.","Argo Group International Holdings, Ltd. - Common Stock",Q,N,N,100.0
AGIIL,"Argo Group International Holdings, Ltd.","Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042",Q,N,N,100.0
AGIO,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AGNC,American Capital Agency Corp.,American Capital Agency Corp. - Common Stock,Q,N,N,100.0
AGNCB,American Capital Agency Corp.,American Capital Agency Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock,Q,N,N,100.0
AGNCP,American Capital Agency Corp.,American Capital Agency Corp. - Cumulative Preferred Series A,Q,N,N,100.0
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,G,N,N,100.0
AGRX,"Agile Therapeutics, Inc.","Agile Therapeutics, Inc. - Common Stock",G,N,N,100.0
AGTC,Applied Genetic Technologies Corporation,Applied Genetic Technologies Corporation - Common Stock,G,N,N,100.0
AGYS,"Agilysys, Inc.","Agilysys, Inc. - Common Stock",Q,N,N,100.0
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,G,N,N,100.0
AHGP,"Alliance Holdings GP, L.P.","Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests",Q,N,N,100.0
AHPI,"Allied Healthcare Products, Inc.","Allied Healthcare Products, Inc. - Common Stock",G,N,N,100.0
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion Corp. - Common Stock,Q,N,N,100.0
AINV,Apollo Investment Corporation,Apollo Investment Corporation - Closed End Fund,Q,N,N,100.0
AIQ,"Alliance HealthCare Services, Inc.","Alliance HealthCare Services, Inc. - Common Stock",G,N,N,100.0
AIRM,Air Methods Corporation,Air Methods Corporation - Common Stock,Q,N,N,100.0
AIRR,First Trust RBA American Industrial Renaissance ETF,First Trust RBA American Industrial Renaissance ETF,G,N,N,100.0
AIRT,"Air T, Inc.","Air T, Inc. - Common Stock",S,N,N,100.0
AIXG,Aixtron SE,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share",Q,N,N,100.0
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Common Stock",Q,N,N,100.0
AKAO,"Achaogen, Inc.","Achaogen, Inc. - Common Stock",G,N,N,100.0
AKBA,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. - Common Stock",G,N,N,100.0
AKER,Akers Biosciences Inc,Akers Biosciences Inc - Common Stock,S,N,N,100.0
AKRX,"Akorn, Inc.","Akorn, Inc. - Common Stock",Q,N,N,100.0
ALCO,"Alico, Inc.","Alico, Inc. - Common Stock",Q,N,N,100.0
ALDR,"Alder BioPharmaceuticals, Inc.","Alder BioPharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ALDX,"Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100.0
ALGN,"Align Technology, Inc.","Align Technology, Inc. - Common Stock",Q,N,N,100.0
ALGT,Allegiant Travel Company,Allegiant Travel Company - Common Stock,Q,N,N,100.0
ALIM,"Alimera Sciences, Inc.","Alimera Sciences, Inc. - Common Stock",G,N,N,100.0
ALKS,Alkermes plc,Alkermes plc - Ordinary Shares,Q,N,N,100.0
ALLB,"Alliance Bancorp, Inc. of Pennsylvania","Alliance Bancorp, Inc. of Pennsylvania - Common Stock",G,N,N,100.0
ALLT,Allot Communications Ltd.,Allot Communications Ltd. - Ordinary Shares,Q,N,N,100.0
ALNY,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
ALOG,Analogic Corporation,Analogic Corporation - Common Stock,Q,N,N,100.0
ALOT,Astro,"Astro-Med, Inc. - Common Stock",G,N,N,100.0
ALQA,"Alliqua, Inc.","Alliqua, Inc. - Common Stock",S,N,N,100.0
ALSK,"Alaska Communications Systems Group, Inc.","Alaska Communications Systems Group, Inc. - Common Stock",Q,N,N,100.0
ALTR,Altera Corporation,Altera Corporation - Common Stock,Q,N,N,100.0
ALXA,"Alexza Pharmaceuticals, Inc.","Alexza Pharmaceuticals, Inc. - Common Stock",G,N,D,100.0
ALXN,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AMAG,"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AMAT,"Applied Materials, Inc.","Applied Materials, Inc. - Common Stock",Q,N,N,100.0
AMBA,"Ambarella, Inc.","Ambarella, Inc. - Ordinary Shares",Q,N,N,100.0
AMBC,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Common Stock",Q,N,N,100.0
AMBCW,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Warrants",Q,N,N,100.0
AMCC,Applied Micro Circuits Corporation,Applied Micro Circuits Corporation - Common Stock,Q,N,N,100.0
AMCF,Andatee China Marine Fuel Services Corporation,Andatee China Marine Fuel Services Corporation - Common Stock,S,N,N,100.0
AMCN,AirMedia Group Inc,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares",Q,N,N,100.0
AMCX,AMC Networks Inc.,AMC Networks Inc. - Class A Common Stock,Q,N,N,100.0
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. - Common Stock",S,N,N,100.0
AMDA,Amedica Corporation,Amedica Corporation - Common Stock,S,N,N,100.0
AMED,Amedisys Inc,Amedisys Inc - Common Stock,Q,N,N,100.0
AMGN,Amgen Inc.,Amgen Inc. - Common Stock,Q,N,N,100.0
AMIC,American Independence Corp.,American Independence Corp. - Common Stock,G,N,N,100.0
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc. - Common Stock",Q,N,N,100.0
AMNB,"American National Bankshares, Inc.","American National Bankshares, Inc. - Common Stock",Q,N,N,100.0
AMOT,"Allied Motion Technologies, Inc.","Allied Motion Technologies, Inc. - Common Stock",G,N,N,100.0
AMOV,"America Movil, S.A.B. de C.V.","America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares",Q,N,N,100.0
AMPH,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AMRB,American River Bankshares,American River Bankshares - Common Stock,Q,N,N,100.0
AMRI,"Albany Molecular Research, Inc.","Albany Molecular Research, Inc. - Common Stock",Q,N,N,100.0
AMRK,A,"A-Mark Precious Metals, Inc. - Common Stock",Q,N,N,100.0
AMRN,Amarin Corporation plc,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100.0
AMRS,"Amyris, Inc.","Amyris, Inc. - Common Stock",Q,N,N,100.0
AMSC,American Superconductor Corporation,American Superconductor Corporation - Common Stock,Q,N,N,100.0
AMSF,"AMERISAFE, Inc.","AMERISAFE, Inc. - Common Stock",Q,N,N,100.0
AMSG,Amsurg Corp.,Amsurg Corp. - Common Stock,Q,N,N,100.0
AMSGP,Amsurg Corp.,"Amsurg Corp. - 5.250% Mandatory Convertible Preferred Stock, Series A-1",Q,N,N,100.0
AMSWA,"American Software, Inc.","American Software, Inc. - Class A Common Stock",Q,N,N,100.0
AMTX,"Aemetis, Inc","Aemetis, Inc - Common Stock",G,N,N,100.0
AMWD,American Woodmark Corporation,American Woodmark Corporation - Common Stock,Q,N,N,100.0
AMZN,"Amazon.com, Inc.","Amazon.com, Inc. - Common Stock",Q,N,N,100.0
ANAC,"Anacor Pharmaceuticals, Inc.","Anacor Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ANAD,"ANADIGICS, Inc.","ANADIGICS, Inc. - Common Stock",Q,N,D,100.0
ANAT,American National Insurance Company,American National Insurance Company - Common Stock,Q,N,D,100.0
ANCB,Anchor Bancorp,Anchor Bancorp - Common Stock,G,N,N,100.0
ANCI,American Caresource Holdings Inc,American Caresource Holdings Inc - Common Stock,S,N,D,100.0
ANCX,Access National Corporation,Access National Corporation - Common Stock,G,N,N,100.0
ANDE,"The Andersons, Inc.","The Andersons, Inc. - Common Stock",Q,N,N,100.0
ANGI,"Angie's List, Inc.","Angie's List, Inc. - Common Stock",Q,N,N,100.0
ANGO,"AngioDynamics, Inc.","AngioDynamics, Inc. - Common Stock",Q,N,N,100.0
ANIK,Anika Therapeutics Inc.,Anika Therapeutics Inc. - Common Stock,Q,N,N,100.0
ANIP,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ANSS,"ANSYS, Inc.","ANSYS, Inc. - Common Stock",Q,N,N,100.0
ANTH,"Anthera Pharmaceuticals, Inc.","Anthera Pharmaceuticals, Inc. - Common Stock",G,N,D,100.0
ANY,Sphere 3D Corp,Sphere 3D Corp - Common Shares,G,N,N,100.0
AOSL,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100.0
APAGF,Apco Oil and Gas International Inc.,Apco Oil and Gas International Inc. - Ordinary Shares,S,N,N,100.0
APDN,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Common Stock,S,N,N,100.0
APDNW,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Warrant,S,N,N,100.0
APEI,"American Public Education, Inc.","American Public Education, Inc. - Common Stock",Q,N,N,100.0
APOG,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc. - Common Stock",Q,N,N,100.0
APOL,"Apollo Education Group, Inc.","Apollo Education Group, Inc. - Class A Common Stock",Q,N,N,100.0
APPY,"Venaxis, Inc.","Venaxis, Inc. - Common Stock",S,N,N,100.0
APRI,"Apricus Biosciences, Inc","Apricus Biosciences, Inc - Common Stock",S,N,N,100.0
APSA,Alto Palermo S.A.,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock",Q,N,N,100.0
APTO,"Aptose Biosciences, Inc.","Aptose Biosciences, Inc. - Common Shares",S,N,N,100.0
APWC,Asia Pacific Wire & Cable Corporation Limited,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share",G,N,N,100.0
AQXP,"Aquinox Pharmaceuticals, Inc.","Aquinox Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ARAY,Accuray Incorporated,Accuray Incorporated - Common Stock,Q,N,N,100.0
ARCB,ArcBest Corporation,ArcBest Corporation - Common Stock,Q,N,N,100.0
ARCC,Ares Capital Corporation,Ares Capital Corporation - Closed End Fund,Q,N,N,100.0
ARCI,"Appliance Recycling Centers of America, Inc.","Appliance Recycling Centers of America, Inc. - Common Stock",S,N,N,100.0
ARCP,"American Realty Capital Properties, Inc.","American Realty Capital Properties, Inc. - Common Stock",Q,N,E,100.0
ARCPP,"American Realty Capital Properties, Inc.","American Realty Capital Properties, Inc. - 6.70% Series F Cumulative Redeemable Preferred Stock",Q,N,E,100.0
ARCW,"ARC Group Worldwide, Inc.","ARC Group Worldwide, Inc. - Common Stock",S,N,N,100.0
ARDM,Aradigm Corporation,Aradigm Corporation - Common Stock,S,N,N,100.0
ARDX,"Ardelyx, Inc.","Ardelyx, Inc. - Common Stock",G,N,N,100.0
AREX,Approach Resources Inc.,Approach Resources Inc. - Common Stock,Q,N,N,100.0
ARGS,"Argos Therapeutics, Inc.","Argos Therapeutics, Inc. - Common Stock",G,N,N,100.0
ARIA,"ARIAD Pharmaceuticals, Inc.","ARIAD Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
ARII,"American Railcar Industries, Inc.","American Railcar Industries, Inc. - Common Stock",Q,N,N,100.0
ARIS,"ARI Network Services, Inc.","ARI Network Services, Inc. - Common Stock",S,N,N,100.0
ARKR,Ark Restaurants Corp.,Ark Restaurants Corp. - Common Stock,G,N,N,100.0
ARLP,"Alliance Resource Partners, L.P.","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,N,N,100.0
ARMH,ARM Holdings plc,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares,Q,N,N,100.0
ARNA,"Arena Pharmaceuticals, Inc.","Arena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AROW,Arrow Financial Corporation,Arrow Financial Corporation - Common Stock,Q,N,N,100.0
ARQL,"ArQule, Inc.","ArQule, Inc. - Common Stock",G,N,N,100.0
ARRS,"ARRIS Group, Inc.","ARRIS Group, Inc. - Common Stock",Q,N,N,100.0
ARRY,Array BioPharma Inc.,Array BioPharma Inc. - Common Stock,G,N,N,100.0
ARTNA,Artesian Resources Corporation,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,N,N,100.0
ARTW,Art's,"Art's-Way Manufacturing Co., Inc. - Common Stock",S,N,N,100.0
ARTX,Arotech Corporation,Arotech Corporation - Common Stock,G,N,N,100.0
ARUN,"Aruba Networks, Inc.","Aruba Networks, Inc. - Common Stock",Q,N,N,100.0
ARWR,Arrowhead Research Corporation,Arrowhead Research Corporation - Common Stock,Q,N,N,100.0
ASBB,"ASB Bancorp, Inc.","ASB Bancorp, Inc. - Common Stock",G,N,N,100.0
ASBI,Ameriana Bancorp,Ameriana Bancorp - Common Stock,S,N,N,100.0
ASCMA,"Ascent Capital Group, Inc.","Ascent Capital Group, Inc. - Series A Common Stock",Q,N,N,100.0
ASEI,"American Science and Engineering, Inc.","American Science and Engineering, Inc. - Common Stock",Q,N,N,100.0
ASFI,"Asta Funding, Inc.","Asta Funding, Inc. - Common Stock",Q,N,N,100.0
ASMB,"Assembly Biosciences, Inc.","Assembly Biosciences, Inc. - Common Stock",S,N,N,100.0
ASMI,ASM International N.V.,ASM International N.V. - Common Shares,Q,N,N,100.0
ASML,ASML Holding N.V.,ASML Holding N.V. - ADS represents 1 ordinary share,Q,N,N,100.0
ASNA,"Ascena Retail Group, Inc.","Ascena Retail Group, Inc. - Common Stock",Q,N,N,100.0
ASPS,Altisource Portfolio Solutions S.A.,Altisource Portfolio Solutions S.A. - Common Stock,Q,N,N,100.0
ASPX,"Auspex Pharmaceuticals, Inc.","Auspex Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ASRV,AmeriServ Financial Inc.,AmeriServ Financial Inc. - Common Stock,G,N,N,100.0
ASRVP,AmeriServ Financial Inc.,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",G,N,N,100.0
ASTC,Astrotech Corporation,Astrotech Corporation - Common Stock,S,N,N,100.0
ASTE,"Astec Industries, Inc.","Astec Industries, Inc. - Common Stock",Q,N,N,100.0
ASTI,"Ascent Solar Technologies, Inc.","Ascent Solar Technologies, Inc. - Common Stock",S,N,N,100.0
ASUR,Asure Software Inc,Asure Software Inc - Common Stock,S,N,N,100.0
ASYS,"Amtech Systems, Inc.","Amtech Systems, Inc. - Common Stock",Q,N,N,100.0
ATAI,ATA Inc.,"ATA Inc. - American Depositary Shares, each representing two common shares",G,N,N,100.0
ATAX,"America First Multifamily Investors, L.P.","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Q,N,N,100.0
ATEA,"Astea International, Inc.","Astea International, Inc. - Common Stock",S,N,D,100.0
ATEC,"Alphatec Holdings, Inc.","Alphatec Holdings, Inc. - Common Stock",Q,N,N,100.0
ATHN,"athenahealth, Inc.","athenahealth, Inc. - Common Stock",Q,N,N,100.0
ATHX,"Athersys, Inc.","Athersys, Inc. - Common Stock",S,N,N,100.0
ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation - Common Stock,Q,N,N,100.0
ATLO,Ames National Corporation,Ames National Corporation - Common Stock,S,N,N,100.0
ATML,Atmel Corporation,Atmel Corporation - Common Stock,Q,N,N,100.0
ATNI,Atlantic Tele,"Atlantic Tele-Network, Inc. - Common Stock",Q,N,N,100.0
ATNY,API Technologies Corp.,API Technologies Corp. - Common Stock,S,N,N,100.0
ATOS,Atossa Genetics Inc.,Atossa Genetics Inc. - Common Stock,S,N,N,100.0
ATRA,"Atara Biotherapeutics, Inc.","Atara Biotherapeutics, Inc. - Common Stock",Q,N,N,100.0
ATRC,"AtriCure, Inc.","AtriCure, Inc. - Common Stock",G,N,N,100.0
ATRI,ATRION Corporation,ATRION Corporation - Common Stock,Q,N,N,100.0
ATRM,"ATRM Holdings, Inc.","ATRM Holdings, Inc. - Common Stock",S,N,E,100.0
ATRO,Astronics Corporation,Astronics Corporation - Common Stock,Q,N,N,100.0
ATRS,"Antares Pharma, Inc.","Antares Pharma, Inc. - Common Stock",S,N,N,100.0
ATSG,"Air Transport Services Group, Inc","Air Transport Services Group, Inc - Common Stock",Q,N,N,100.0
ATTU,Attunity Ltd.,Attunity Ltd. - Ordinary Shares,S,N,N,100.0
ATVI,"Activision Blizzard, Inc","Activision Blizzard, Inc - Common Stock",Q,N,N,100.0
AUBN,"Auburn National Bancorporation, Inc.","Auburn National Bancorporation, Inc. - Common Stock",G,N,N,100.0
AUDC,AudioCodes Ltd.,AudioCodes Ltd. - Ordinary Shares,Q,N,N,100.0
AUMA,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Common Stock,S,N,N,100.0
AUMAU,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Units,S,N,N,100.0
AUMAW,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Warrants,S,N,N,100.0
AUPH,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc - Common Shares,G,N,N,100.0
AUXL,"Auxilium Pharmaceuticals, Inc.","Auxilium Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
AVAV,"AeroVironment, Inc.","AeroVironment, Inc. - Common Stock",Q,N,N,100.0
AVEO,"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc. - Common Stock",Q,N,D,100.0
AVGO,Avago Technologies Limited,Avago Technologies Limited - Ordinary Shares,Q,N,N,100.0
AVHI,"A V Homes, Inc.","A V Homes, Inc. - Common Stock",Q,N,N,100.0
AVID,"Avid Technology, Inc.","Avid Technology, Inc. - Common Stock",Q,N,N,100.0
AVNR,"Avanir Pharmaceuticals, Inc.","Avanir Pharmaceuticals, Inc. - Class A Common Stock",Q,N,N,100.0
AVNW,"Aviat Networks, Inc.","Aviat Networks, Inc. - Common Stock",Q,N,N,100.0
AWAY,"HomeAway, Inc.","HomeAway, Inc. - Common Stock",Q,N,N,100.0
AWRE,"Aware, Inc.","Aware, Inc. - Common Stock",G,N,N,100.0
AXAS,Abraxas Petroleum Corporation,Abraxas Petroleum Corporation - Common Stock,S,N,N,100.0
AXDX,"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc. - Common Stock",S,N,N,100.0
AXGN,"AxoGen, Inc.","AxoGen, Inc. - Common Stock",S,N,N,100.0
AXJS,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,G,N,N,100.0
AXPW,"Axion Power International, Inc.","Axion Power International, Inc. - Common Stock",S,N,N,100.0
AXPWW,"Axion Power International, Inc.","Axion Power International, Inc. - Series A Warrants",S,N,N,100.0
AXTI,AXT Inc,AXT Inc - Common Stock,Q,N,N,100.0
AZPN,"Aspen Technology, Inc.","Aspen Technology, Inc. - Common Stock",Q,N,N,100.0
BABY,Natus Medical Incorporated,Natus Medical Incorporated - Common Stock,Q,N,N,100.0
