YEAR,MONTH,DAY,EXCH
2015,10,19,1.1320
2015,10,20,1.1359
2015,10,21,1.1345
2015,10,22,1.1140
2015,10,23,1.1016
2015,10,26,1.1051
2015,10,27,1.1052
2015,10,28,1.1066
2015,10,29,1.0963
2015,10,30,1.1042
2015,11,2,1.1026
2015,11,3,1.0946
2015,11,4,1.0861
2015,11,5,1.0869
2015,11,6,1.0746
2015,11,9,1.0767
2015,11,10,1.0686
2015,11,12,1.0768
2015,11,13,1.0722
2015,11,16,1.0708
2015,11,17,1.0634
2015,11,18,1.0638
2015,11,19,1.0746
2015,11,20,1.0660
2015,11,23,1.0602
2015,11,24,1.0652
2015,11,25,1.0616
2015,11,27,1.0596
2015,11,30,1.0562
2015,12,1,1.0620
2015,12,2,1.0573
2015,12,3,1.0902
2015,12,4,1.0884
2015,12,7,1.0840
2015,12,8,1.0876
2015,12,9,1.0984
2015,12,10,1.0948
2015,12,11,1.1002
2015,12,14,1.1025
2015,12,15,1.0911
2015,12,16,1.0937
2015,12,17,1.0804
2015,12,18,1.0847
2015,12,21,1.0920
2015,12,22,1.0978
2015,12,23,1.0875
2015,12,24,1.0955
2015,12,28,1.0983
2015,12,29,1.0916
2015,12,30,1.0912
2015,12,31,1.0859
2016,1,4,1.0803
2016,1,5,1.0743
2016,1,6,1.0762
2016,1,7,1.0860
2016,1,8,1.0885
2016,1,11,1.0878
2016,1,12,1.0837
2016,1,13,1.0862
2016,1,14,1.0862
2016,1,15,1.0964
2016,1,19,1.0906
2016,1,20,1.0908
2016,1,21,1.0833
2016,1,22,1.0814
2016,1,25,1.0832
2016,1,26,1.0846
2016,1,27,1.0867
2016,1,28,1.0952
2016,1,29,1.0832
2016,2,1,1.0888
2016,2,2,1.0908
2016,2,3,1.1051
2016,2,4,1.1199
2016,2,5,1.1131
2016,2,8,1.1170
2016,2,9,1.1300
2016,2,10,1.1222
2016,2,11,1.1362
2016,2,12,1.1235
2016,2,16,1.1140
2016,2,17,1.1140
2016,2,18,1.1092
2016,2,19,1.1127
2016,2,22,1.1018
2016,2,23,1.1016
2016,2,24,1.1021
2016,2,25,1.1026
2016,2,26,1.0932
2016,2,29,1.0868
2016,3,1,1.0847
2016,3,2,1.0845
2016,3,3,1.0948
2016,3,4,1.1010
2016,3,7,1.1004
2016,3,8,1.1028
2016,3,9,1.1022
2016,3,10,1.1162
2016,3,11,1.1180
2016,3,14,1.1107
2016,3,15,1.1112
2016,3,16,1.1075
2016,3,17,1.1316
2016,3,18,1.1292
2016,3,21,1.1260
2016,3,22,1.1228
2016,3,23,1.1174
2016,3,24,1.1163
2016,3,25,1.1164
2016,3,28,1.1210
2016,3,29,1.1204
2016,3,30,1.1330
2016,3,31,1.1390
2016,4,1,1.1385
2016,4,4,1.1386
2016,4,5,1.1374
2016,4,6,1.1430
2016,4,7,1.1386
2016,4,8,1.1406
2016,4,11,1.1412
2016,4,12,1.1395
2016,4,13,1.1281
2016,4,14,1.1262
2016,4,15,1.1295
2016,4,18,1.1322
2016,4,19,1.1375
2016,4,20,1.1330
2016,4,21,1.1301
2016,4,22,1.1239
2016,4,25,1.1274
2016,4,26,1.1318
2016,4,27,1.1322
2016,4,28,1.1325
2016,4,29,1.1441
2016,5,2,1.1516
2016,5,3,1.1508
2016,5,4,1.1486
2016,5,5,1.1404
2016,5,6,1.1421
2016,5,9,1.1402
2016,5,10,1.1386
2016,5,11,1.1444
2016,5,12,1.1380
2016,5,13,1.1294
2016,5,16,1.1328
2016,5,17,1.1337
2016,5,18,1.1276
2016,5,19,1.1214
2016,5,20,1.1207
2016,5,23,1.1192
2016,5,24,1.1145
2016,5,25,1.1154
2016,5,26,1.1184
2016,5,27,1.1140
2016,5,31,1.1135
2016,6,1,1.1165
2016,6,2,1.1157
2016,6,3,1.1330
2016,6,6,1.1354
2016,6,7,1.1350
2016,6,8,1.1400
2016,6,9,1.1329
2016,6,10,1.1281
2016,6,13,1.1282
2016,6,14,1.1206
2016,6,15,1.1239
2016,6,16,1.1158
2016,6,17,1.1256
2016,6,20,1.1318
2016,6,21,1.1262
2016,6,22,1.1286
2016,6,23,1.1373
2016,6,24,1.1126
2016,6,27,1.1024
2016,6,28,1.1054
2016,6,29,1.1117
2016,6,30,1.1032
2016,7,1,1.1145
2016,7,5,1.1080
2016,7,6,1.1077
2016,7,7,1.1065
2016,7,8,1.1038
2016,7,11,1.1045
2016,7,12,1.1074
2016,7,13,1.1112
2016,7,14,1.1109
2016,7,15,1.1059
2016,7,18,1.1076
2016,7,19,1.1014
2016,7,20,1.1007
2016,7,21,1.1016
2016,7,22,1.0968
2016,7,25,1.0980
2016,7,26,1.0984
2016,7,27,1.0988
2016,7,28,1.1094
2016,7,29,1.1168
2016,8,1,1.1176
2016,8,2,1.1225
2016,8,3,1.1170
2016,8,4,1.1134
2016,8,5,1.1080
2016,8,8,1.1078
2016,8,9,1.1110
2016,8,10,1.1171
2016,8,11,1.1168
2016,8,12,1.1172
2016,8,15,1.1199
2016,8,16,1.1277
2016,8,17,1.1263
2016,8,18,1.1334
2016,8,19,1.1326
2016,8,22,1.1314
2016,8,23,1.1308
2016,8,24,1.1256
2016,8,25,1.1274
2016,8,26,1.1237
2016,8,29,1.1182
2016,8,30,1.1150
2016,8,31,1.1146
2016,9,1,1.1194
2016,9,2,1.1158
2016,9,6,1.1237
2016,9,7,1.1238
2016,9,8,1.1256
2016,9,9,1.1214
2016,9,12,1.1230
2016,9,13,1.1242
2016,9,14,1.1271
2016,9,15,1.1246
2016,9,16,1.1160
2016,9,19,1.1179
2016,9,20,1.1172
2016,9,21,1.1165
2016,9,22,1.1229
2016,9,23,1.1223
2016,9,26,1.1270
2016,9,27,1.1208
2016,9,28,1.1200
2016,9,29,1.1244
2016,9,30,1.1238
2016,10,3,1.1210
2016,10,4,1.1212
2016,10,5,1.1196
2016,10,6,1.1158
2016,10,7,1.1156
2016,10,11,1.1062
2016,10,12,1.1014
2016,10,13,1.1038
2016,10,14,1.0985
2016,10,17,1.1000
2016,10,18,1.0997
2016,10,19,1.0966
2016,10,20,1.0934
2016,10,21,1.0866
2016,10,24,1.0888
2016,10,25,1.0890
2016,10,26,1.0916
2016,10,27,1.0904
2016,10,28,1.0934
2016,10,31,1.0962
2016,11,1,1.1042
2016,11,2,1.1119
2016,11,3,1.1094
2016,11,4,1.1121
2016,11,7,1.1038
2016,11,8,1.1034
2016,11,9,1.0952
2016,11,10,1.0882
2016,11,14,1.0723
2016,11,15,1.0726
2016,11,16,1.0699
2016,11,17,1.0656
2016,11,18,1.0600
2016,11,21,1.0597
2016,11,22,1.0618
2016,11,23,1.0560
2016,11,25,1.0595
2016,11,28,1.0576
2016,11,29,1.0626
2016,11,30,1.0578
2016,12,1,1.0634
2016,12,2,1.0666
2016,12,5,1.0723
2016,12,6,1.0717
2016,12,7,1.0758
2016,12,8,1.0625
2016,12,9,1.0541
2016,12,12,1.0606
2016,12,13,1.0635
2016,12,14,1.0656
2016,12,15,1.0375
2016,12,16,1.0456
2016,12,19,1.0444
2016,12,20,1.0390
2016,12,21,1.0425
2016,12,22,1.0452
2016,12,23,1.0449
2016,12,27,1.0458
2016,12,28,1.0389
2016,12,29,1.0486
2016,12,30,1.0552
2017,1,3,1.0416
2017,1,4,1.0476
2017,1,5,1.0598
2017,1,6,1.0560
2017,1,9,1.0576
2017,1,10,1.0572
2017,1,11,1.0501
2017,1,12,1.0666
2017,1,13,1.0625
2017,1,17,1.0695
2017,1,18,1.0682
2017,1,19,1.0630
2017,1,23,1.0740
2017,1,24,1.0749
2017,1,25,1.0743
2017,1,26,1.0670
2017,1,27,1.0690
2017,1,30,1.0681
2017,1,31,1.0794
2017,2,1,1.0758
2017,2,2,1.0802
2017,2,3,1.0792
2017,2,6,1.0731
2017,2,7,1.0690
2017,2,8,1.0708
2017,2,9,1.0658
2017,2,10,1.0650
2017,2,13,1.0603
2017,2,14,1.0577
2017,2,15,1.0597
2017,2,16,1.0660
2017,2,17,1.0614
2017,2,21,1.0551
2017,2,22,1.0555
2017,2,23,1.0586
2017,2,24,1.0580
2017,2,27,1.0624
2017,2,28,1.0618
2017,3,1,1.0564
2017,3,2,1.0514
2017,3,3,1.0552
2017,3,6,1.0586
2017,3,7,1.0582
2017,3,8,1.0547
2017,3,9,1.0586
2017,3,10,1.0667
2017,3,13,1.0670
2017,3,14,1.0645
2017,3,15,1.0630
2017,3,16,1.0738
2017,3,17,1.0742
2017,3,20,1.0754
2017,3,21,1.0810
2017,3,22,1.0800
2017,3,23,1.0787
2017,3,24,1.0806
2017,3,27,1.0882
2017,3,28,1.0852
2017,3,29,1.0756
2017,3,30,1.0726
2017,3,31,1.0698
2017,4,3,1.0655
2017,4,4,1.0664
2017,4,5,1.0661
2017,4,6,1.0651
2017,4,7,1.0616
2017,4,10,1.0606
2017,4,11,1.0614
2017,4,12,1.0611
2017,4,13,1.0630
2017,4,14,1.0625
2017,4,17,1.0660
2017,4,18,1.0706
2017,4,19,1.0707
2017,4,20,1.0758
2017,4,21,1.0694
2017,4,24,1.0846
2017,4,25,1.0941
2017,4,26,1.0872
2017,4,27,1.0864
2017,4,28,1.0895
2017,5,1,1.0912
2017,5,2,1.0910
2017,5,3,1.0920
2017,5,4,1.0967
2017,5,5,1.0996
2017,5,8,1.0928
2017,5,9,1.0875
2017,5,10,1.0873
2017,5,11,1.0869
2017,5,12,1.0926
2017,5,15,1.0979
2017,5,16,1.1072
2017,5,17,1.1134
2017,5,18,1.1130
2017,5,19,1.1190
2017,5,22,1.1236
2017,5,23,1.1198
2017,5,24,1.1175
2017,5,25,1.1218
2017,5,26,1.1170
2017,5,30,1.1183
2017,5,31,1.1236
2017,6,1,1.1214
2017,6,2,1.1270
2017,6,5,1.1250
2017,6,6,1.1266
2017,6,7,1.1236
2017,6,8,1.1217
2017,6,9,1.1190
2017,6,12,1.1204
2017,6,13,1.1194
2017,6,14,1.1277
2017,6,15,1.1152
2017,6,16,1.1194
2017,6,19,1.1160
2017,6,20,1.1124
2017,6,21,1.1143
2017,6,22,1.1148
2017,6,23,1.1196
2017,6,26,1.1196
2017,6,27,1.1300
2017,6,28,1.1364
2017,6,29,1.1420
2017,6,30,1.1411
2017,7,3,1.1367
2017,7,5,1.1336
2017,7,6,1.1409
2017,7,7,1.1396
2017,7,10,1.1396
2017,7,11,1.1430
2017,7,12,1.1411
2017,7,13,1.1385
2017,7,14,1.1452
2017,7,17,1.1470
2017,7,18,1.1578
2017,7,19,1.1518
2017,7,20,1.1634
2017,7,21,1.1655
2017,7,24,1.1642
2017,7,25,1.1656
2017,7,26,1.1632
2017,7,27,1.1656
2017,7,28,1.1754
2017,7,31,1.1826
2017,8,1,1.1799
2017,8,2,1.1861
2017,8,3,1.1880
2017,8,4,1.1754
2017,8,7,1.1788
2017,8,8,1.1724
2017,8,9,1.1748
2017,8,10,1.1751
2017,8,11,1.1811
2017,8,14,1.1786
2017,8,15,1.1736
2017,8,16,1.1703
2017,8,17,1.1736
2017,8,18,1.1748
2017,8,21,1.1814
2017,8,22,1.1762
2017,8,23,1.1802
2017,8,24,1.1801
2017,8,25,1.1874
2017,8,28,1.1973
2017,8,29,1.2025
2017,8,30,1.1927
2017,8,31,1.1894
2017,9,1,1.1878
2017,9,5,1.1911
2017,9,6,1.1943
2017,9,7,1.2028
2017,9,8,1.2041
2017,9,11,1.1964
2017,9,12,1.1968
2017,9,13,1.1898
2017,9,14,1.1886
2017,9,15,1.1959
2017,9,18,1.1938
2017,9,19,1.1980
2017,9,20,1.1998
2017,9,21,1.1946
2017,9,22,1.1969
2017,9,25,1.1852
2017,9,26,1.1772
2017,9,27,1.1747
2017,9,28,1.1776
2017,9,29,1.1813
2017,10,2,1.1745
2017,10,3,1.1759
2017,10,4,1.1760
2017,10,5,1.1706
2017,10,6,1.1732
2017,10,10,1.1804
2017,10,11,1.1847
2017,10,12,1.1840
2017,10,13,1.1837
2017,10,16,1.1810
2017,10,17,1.1754
2017,10,18,1.1775
2017,10,19,1.1842
2017,10,20,1.1770
2017,10,23,1.1762
2017,10,24,1.1766
2017,10,25,1.1802
2017,10,26,1.1700
2017,10,27,1.1580
2017,10,30,1.1626
2017,10,31,1.1648
2017,11,1,1.1618
2017,11,2,1.1672
2017,11,3,1.1616
2017,11,6,1.1600
2017,11,7,1.1577
2017,11,8,1.1591
2017,11,9,1.1648
2017,11,13,1.1656
2017,11,14,1.1764
2017,11,15,1.1794
2017,11,16,1.1772
2017,11,17,1.1799
2017,11,20,1.1741
2017,11,21,1.1741
2017,11,22,1.1789
2017,11,24,1.1936
2017,11,27,1.1911
2017,11,28,1.1878
2017,11,29,1.1858
2017,11,30,1.1898
2017,12,1,1.1910
2017,12,4,1.1848
2017,12,5,1.1820
2017,12,6,1.1788
2017,12,7,1.1790
2017,12,8,1.1761
2017,12,11,1.1802
2017,12,12,1.1725
2017,12,13,1.1762
2017,12,14,1.1778
2017,12,15,1.1778
2017,12,18,1.1804
2017,12,19,1.1822
2017,12,20,1.1881
2017,12,21,1.1872
2017,12,22,1.1839
2017,12,26,1.1867
2017,12,27,1.1902
2017,12,28,1.1952
2017,12,29,1.2022
2018,1,2,1.2050
2018,1,3,1.2030
2018,1,4,1.2064
2018,1,5,1.2039
2018,1,8,1.1973
2018,1,9,1.1922
2018,1,10,1.1958
2018,1,11,1.2035
2018,1,12,1.2130
2018,1,16,1.2244
2018,1,17,1.2229
2018,1,18,1.2238
2018,1,19,1.2238
2018,1,22,1.2230
2018,1,23,1.2277
2018,1,24,1.2390
2018,1,25,1.2488
2018,1,26,1.2422
2018,1,29,1.2352
2018,1,30,1.2390
2018,1,31,1.2428
2018,2,1,1.2482
2018,2,2,1.2446
2018,2,5,1.2418
2018,2,6,1.2381
2018,2,7,1.2281
2018,2,8,1.2238
2018,2,9,1.2226
2018,2,12,1.2267
2018,2,13,1.2363
2018,2,14,1.2396
2018,2,15,1.2482
2018,2,16,1.2442
2018,2,20,1.2348
2018,2,21,1.2314
2018,2,22,1.2326
2018,2,23,1.2298
2018,2,26,1.2296
2018,2,27,1.2239
2018,2,28,1.2211
2018,3,1,1.2216
2018,3,2,1.2314
2018,3,5,1.233
2018,3,6,1.2415
2018,3,7,1.2397
2018,3,8,1.2314
2018,3,9,1.2326
2018,3,12,1.2318
2018,3,13,1.2398
2018,3,14,1.2362
2018,3,15,1.2321
2018,3,16,1.228
2018,3,19,1.2329
2018,3,20,1.2271
2018,3,21,1.2268
2018,3,22,1.231
2018,3,23,1.236
2018,3,26,1.244
2018,3,27,1.241
2018,3,28,1.2351
2018,3,29,1.2297
2018,3,30,1.232
2018,4,2,1.2288
2018,4,3,1.2261
2018,4,4,1.2292
2018,4,5,1.223
2018,4,6,1.2274
2018,4,9,1.232
2018,4,10,1.2338
2018,4,11,1.2384
2018,4,12,1.232
2018,4,13,1.2322
2018,4,16,1.2373
2018,4,17,1.2345
2018,4,18,1.238
2018,4,19,1.2336
2018,4,20,1.2282
2018,4,23,1.2216
2018,4,24,1.2226
2018,4,25,1.2178
2018,4,26,1.2113
2018,4,27,1.2108
2018,4,30,1.2074
2018,5,1,1.2
2018,5,2,1.1968
2018,5,3,1.197
2018,5,4,1.1946
2018,5,7,1.1927
2018,5,8,1.1863
2018,5,9,1.1852
2018,5,10,1.1896
2018,5,11,1.1951
2018,5,14,1.1976
2018,5,15,1.1864
2018,5,16,1.1788
2018,5,17,1.1798
2018,5,18,1.1775
2018,5,21,1.1768
2018,5,22,1.1783
2018,5,23,1.1693
2018,5,24,1.1729
2018,5,25,1.1666
2018,5,29,1.1551
2018,5,30,1.1664
2018,5,31,1.167
2018,6,1,1.1679
2018,6,4,1.1696
2018,6,5,1.1672
2018,6,6,1.1778
2018,6,7,1.1815
2018,6,8,1.1773
2018,6,11,1.1802
2018,6,12,1.1792
2018,6,13,1.1784
2018,6,14,1.1634
2018,6,15,1.1616
2018,6,18,1.1606
2018,6,19,1.1577
2018,6,20,1.1592
2018,6,21,1.16
2018,6,22,1.163
2018,6,25,1.1694
2018,6,26,1.1675
2018,6,27,1.1588
2018,6,28,1.1582
2018,6,29,1.1677
2018,7,2,1.1604
2018,7,3,1.1653
2018,7,5,1.1697
2018,7,6,1.1738
2018,7,9,1.1744
2018,7,10,1.1728
2018,7,11,1.1722
2018,7,12,1.1692
2018,7,13,1.1667
2018,7,16,1.171
2018,7,17,1.1664
2018,7,18,1.1645
2018,7,19,1.1604
2018,7,20,1.1708
2018,7,23,1.1702
2018,7,24,1.1684
2018,7,25,1.1677
2018,7,26,1.1654
2018,7,27,1.166
2018,7,30,1.1718
2018,7,31,1.1706
2018,8,1,1.1666
2018,8,2,1.1612
2018,8,3,1.1597
2018,8,6,1.1564
2018,8,7,1.1597
2018,8,8,1.1598
2018,8,9,1.1566
2018,8,10,1.1399
2018,8,13,1.1396
2018,8,14,1.1351
2018,8,15,1.1332
2018,8,16,1.1388
2018,8,17,1.141
2018,8,20,1.1438
2018,8,21,1.1534
2018,8,22,1.1595
2018,8,23,1.1567
2018,8,24,1.1625
2018,8,27,1.1676
2018,8,28,1.172
2018,8,29,1.1699
2018,8,30,1.1646
2018,8,31,1.1596
2018,9,4,1.1566
2018,9,5,1.162
2018,9,6,1.1624
2018,9,7,1.1572
2018,9,10,1.1604
2018,9,11,1.1591
2018,9,12,1.1626
2018,9,13,1.1672
2018,9,14,1.1656
2018,9,17,1.1687
2018,9,18,1.1693
2018,9,19,1.1685
2018,9,20,1.1744
2018,9,21,1.1739
2018,9,24,1.1773
2018,9,25,1.177
2018,9,26,1.1758
2018,9,27,1.167
2018,9,28,1.1622
2018,10,1,1.1567
2018,10,2,1.156
2018,10,3,1.1525
2018,10,4,1.1508
2018,10,5,1.1502
2018,10,9,1.1482
2018,10,10,1.1541
2018,10,11,1.1565
2018,10,12,1.1559
2018,10,15,1.1594
2018,10,16,1.1593
2018,10,17,1.154
2018,10,18,1.1494
2018,10,19,1.1513
2018,10,22,1.1467
2018,10,23,1.148
2018,10,24,1.1389
2018,10,25,1.1374
2018,10,26,1.1388
2018,10,29,1.139
2018,10,30,1.1364
2018,10,31,1.1332
2018,11,1,1.1396
2018,11,2,1.1378
2018,11,5,1.1394
2018,11,6,1.1412
2018,11,7,1.1459
2018,11,8,1.1416
2018,11,9,1.1325
2018,11,13,1.1288
2018,11,14,1.1312
2018,11,15,1.1324
2018,11,16,1.1402
2018,11,19,1.1448
2018,11,20,1.1391
2018,11,21,1.1393
2018,11,23,1.1332
2018,11,26,1.1336
2018,11,27,1.1281
2018,11,28,1.1286
2018,11,29,1.1382
2018,11,30,1.1323
2018,12,3,1.1356
2018,12,4,1.1345
2018,12,6,1.1374
2018,12,7,1.139
2018,12,10,1.1368
2018,12,11,1.1314
2018,12,12,1.1362
2018,12,13,1.1358
2018,12,14,1.13
2018,12,17,1.1339
2018,12,18,1.1364
2018,12,19,1.1422
2018,12,20,1.1432
2018,12,21,1.1402
2018,12,26,1.1408
2018,12,27,1.1412
2018,12,28,1.1445
2018,12,31,1.1456
2019,1,2,1.1357
2019,1,3,1.1399
2019,1,4,1.141
2019,1,7,1.1468
2019,1,8,1.1444
2019,1,9,1.1524
2019,1,10,1.1517
2019,1,11,1.1479
2019,1,15,1.1392
2019,1,16,1.1408
2019,1,17,1.1386
2019,1,18,1.1362
2019,1,22,1.1359
2019,1,23,1.139
2019,1,24,1.1322
2019,1,25,1.1407
2019,1,28,1.1438
2019,1,29,1.1424
2019,1,30,1.1418
2019,1,31,1.1454
2019,2,1,1.1474
2019,2,4,1.1438
2019,2,5,1.1406
2019,2,6,1.138
2019,2,7,1.1357
2019,2,8,1.1326
2019,2,11,1.1277
2019,2,12,1.1316
2019,2,13,1.1288
2019,2,14,1.1284
2019,2,15,1.1268
2019,2,19,1.1328
2019,2,21,1.1338
2019,2,22,1.1342
2019,2,25,1.1345
2019,2,26,1.1374
2019,2,27,1.137
2019,2,28,1.1379
2019,3,1,1.1376
2019,3,4,1.1328
2019,3,5,1.13
2019,3,6,1.132
2019,3,7,1.1214
2019,3,8,1.1243
2019,3,11,1.1226
2019,3,12,1.1276
2019,3,13,1.131
2019,3,14,1.1304
2019,3,15,1.1326
2019,3,18,1.1337
2019,3,19,1.1346
2019,3,20,1.1352
2019,3,21,1.1361
2019,3,22,1.1282
2019,3,25,1.1324
2019,3,26,1.128
2019,3,27,1.125
2019,3,28,1.1236
2019,3,29,1.1228
2019,4,1,1.121
2019,4,2,1.1186
2019,4,3,1.1242
2019,4,4,1.1216
2019,4,5,1.1217
2019,4,8,1.1262
2019,4,9,1.1278
2019,4,10,1.1266
2019,4,11,1.1262
2019,4,12,1.1304
2019,4,15,1.1304
2019,4,16,1.1293
2019,4,17,1.1297
2019,4,18,1.1241
2019,4,19,1.1246
2019,4,22,1.1258
2019,4,23,1.1213
2019,4,24,1.1192
2019,4,25,1.114
2019,4,26,1.1154
2019,4,29,1.1166
2019,4,30,1.1201
2019,5,1,1.1246
2019,5,2,1.1184
2019,5,3,1.1186
2019,5,6,1.1197
2019,5,7,1.1178
2019,5,8,1.1206
2019,5,9,1.1228
2019,5,10,1.1241
2019,5,13,1.1232
2019,5,14,1.1207
2019,5,15,1.1208
2019,5,16,1.1178
2019,5,17,1.1166
2019,5,20,1.117
2019,5,21,1.1158
2019,5,22,1.1156
2019,5,23,1.1172
2019,5,24,1.1197
2019,5,28,1.1177
2019,5,29,1.1136
2019,5,30,1.114
2019,5,31,1.1149
2019,6,3,1.1206
2019,6,4,1.1236
2019,6,5,1.1242
2019,6,6,1.1294
2019,6,7,1.1324
2019,6,10,1.1311
2019,6,11,1.1316
2019,6,12,1.131
2019,6,13,1.1275
2019,6,14,1.1217
2019,6,17,1.1235
2019,6,18,1.1196
2019,6,19,1.1214
2019,6,20,1.1284
2019,6,21,1.1328
2019,6,24,1.1393
2019,6,25,1.1386
2019,6,26,1.139
2019,6,27,1.1372
2019,6,28,1.1374
2019,7,1,1.1307
2019,7,2,1.1301
2019,7,3,1.1275
2019,7,5,1.1216
2019,7,8,1.1208
2019,7,9,1.121
2019,7,10,1.126
2019,7,11,1.1261
2019,7,12,1.1254
2019,7,15,1.126
2019,7,16,1.1212
2019,7,17,1.1232
2019,7,18,1.1228
2019,7,19,1.122
2019,7,22,1.1214
2019,7,23,1.1156
2019,7,24,1.1141
2019,7,25,1.1156
2019,7,26,1.1121
2019,7,29,1.1142
2019,7,30,1.1148
2019,7,31,1.113
2019,8,1,1.1062
2019,8,2,1.1112
2019,8,5,1.1197
2019,8,6,1.1196
2019,8,7,1.1236
2019,8,8,1.121
2019,8,9,1.1222
2019,8,12,1.1212
2019,8,13,1.1182
2019,8,14,1.1144
2019,8,15,1.1106
2019,8,16,1.1091
2019,8,19,1.1096
2019,8,20,1.1092
2019,8,21,1.1098
2019,8,22,1.1089
2019,8,23,1.1148
2019,8,26,1.1112
2019,8,27,1.1094
2019,8,28,1.1084
2019,8,29,1.1059
2019,8,30,1.0989
2019,9,3,1.0968
2019,9,4,1.1025
2019,9,5,1.1038
2019,9,6,1.1042
2019,9,9,1.1056
2019,9,10,1.1042
2019,9,11,1.1001
2019,9,12,1.1074
2019,9,13,1.1074
2019,9,16,1.1006
2019,9,17,1.1063
2019,9,18,1.1061
2019,9,19,1.1046
2019,9,20,1.1004
2019,9,23,1.0991
2019,9,24,1.0999
2019,9,25,1.0949
2019,9,26,1.0938
2019,9,27,1.0942
2019,9,30,1.0905
2019,10,1,1.0932
2019,10,2,1.0951
2019,10,3,1.0991
2019,10,4,1.0974
2019,10,7,1.0984
2019,10,8,1.0949
2019,10,9,1.0978
2019,10,10,1.1018
2019,10,11,1.1039
2019,10,15,1.1036
2019,10,16,1.1075
2019,10,17,1.1129
2019,10,18,1.1155
2019,10,21,1.1145
2019,10,22,1.1138
2019,10,23,1.1118
2019,10,24,1.1098
2019,10,25,1.1081
2019,10,28,1.1094
2019,10,29,1.1117
2019,10,30,1.1123
2019,10,31,1.1155
2019,11,1,1.1169
2019,11,4,1.1144
2019,11,5,1.107
2019,11,6,1.1076
2019,11,7,1.1045
2019,11,8,1.1019
2019,11,12,1.1017
2019,11,13,1.1004
2019,11,14,1.1016
2019,11,15,1.1046
2019,11,18,1.1079
2019,11,19,1.1075
2019,11,20,1.1063
2019,11,21,1.1067
2019,11,22,1.1029
2019,11,25,1.1009
2019,11,26,1.1012
2019,11,27,1.1002
2019,11,29,1.1019
2019,12,2,1.1075
2019,12,3,1.1089
