Symbol,Date, Close/Last, Volume, Open, High, Low
AAPL,12/2/20,123.08,89004200,122.02,123.37,120.89
AMZN,12/2/20,3203.53,3129304,3221.65,3232,3173.2601
GOOG,12/2/20,1827.95,1222032,1798.1,1835.65,1789.4725
MSFT,12/2/20,215.37,23724510,214.88,215.47,212.8
AAPL,12/1/20,122.72,128166800,121.01,123.4693,120.01
AMZN,12/1/20,3220.08,4544382,3188.5,3248.95,3157.18
GOOG,12/1/20,1798.1,1739045,1774.37,1824.83,1769.37
MSFT,12/1/20,216.21,30931320,214.51,217.32,213.35
AAPL,11/30/20,119.05,169410200,116.97,120.97,116.81
AMZN,11/30/20,3168.04,4063916,3208.48,3228.39,3125.55
GOOG,11/30/20,1760.74,1823836,1781.184,1788.065,1755
MSFT,11/30/20,214.07,33064750,214.1,214.76,210.835
AAPL,11/27/20,116.59,46691330,116.57,117.49,116.22
AMZN,11/27/20,3195.34,2392867,3211.26,3216.19,3190.05
GOOG,11/27/20,1793.19,884916,1773.09,1804,1772.44
MSFT,11/27/20,215.23,14512210,214.85,216.27,214.04
AAPL,11/25/20,116.03,76499230,115.55,116.75,115.17
AMZN,11/25/20,3185.07,3790403,3141.87,3198,3140.26
GOOG,11/25/20,1771.43,1046122,1772.89,1778.54,1756.54
MSFT,11/25/20,213.87,21012890,215.11,215.29,212.46
AAPL,11/24/20,115.17,113874200,113.91,115.85,112.59
AMZN,11/24/20,3118.06,3602102,3100.5,3134.25,3086.258
GOOG,11/24/20,1768.88,1579703,1730.5,1771.6,1727.69
MSFT,11/24/20,213.86,33979730,209.59,214.25,208.86
AAPL,11/23/20,113.85,127959300,117.18,117.6202,113.75
AMZN,11/23/20,3098.39,4708887,3116.699,3139.745,3065.46
GOOG,11/23/20,1734.86,2161975,1749.6,1753.9,1717.72
MSFT,11/23/20,210.11,25683510,210.95,212.29,208.16
AAPL,11/20/20,117.34,73604290,118.64,118.77,117.29
AMZN,11/20/20,3099.4,3380138,3117.02,3132.89,3098.0456
GOOG,11/20/20,1742.19,2313655,1765.21,1774,1741.86
MSFT,11/20/20,210.39,22843120,212.2,213.285,210
AAPL,11/19/20,118.64,74112970,117.59,119.06,116.81
AMZN,11/19/20,3117.02,3010270,3105.31,3125,3080.92
GOOG,11/19/20,1763.92,1249910,1738.38,1769.5897,1737.005
MSFT,11/19/20,212.42,24792750,211.38,213.03,209.93
AAPL,11/18/20,118.03,76322110,118.61,119.82,118
AMZN,11/18/20,3105.46,2916836,3134,3140,3105.1
GOOG,11/18/20,1746.78,1173466,1765.23,1773.47,1746.14
MSFT,11/18/20,211.08,28372790,213.65,215.17,210.93
AAPL,11/17/20,119.39,74270970,119.55,120.6741,118.96
AMZN,11/17/20,3135.66,3444735,3183.545,3189.25,3135.26
GOOG,11/17/20,1770.15,1147114,1776.94,1785,1767
MSFT,11/17/20,214.46,24154110,216.1,217.68,214.08
AAPL,11/16/20,120.3,91183020,118.92,120.99,118.146
AMZN,11/16/20,3131.06,3808676,3093.2,3142.7,3072.685
GOOG,11/16/20,1781.38,1246785,1771.7,1799.07,1767.69
MSFT,11/16/20,217.23,24953340,214.87,217.74,214.52
AAPL,11/13/20,119.26,81688590,119.44,119.6717,117.87
AMZN,11/13/20,3128.81,3762587,3122,3141.7227,3085.39
GOOG,11/13/20,1777.02,1500574,1757.63,1781.04,1744.55
MSFT,11/13/20,216.51,18630310,216.36,217.42,214.16
AAPL,11/12/20,119.21,103350700,119.62,120.53,118.57
AMZN,11/12/20,3110.28,4371208,3159.95,3175.88,3086.05
GOOG,11/12/20,1749.84,1248754,1747.63,1768.27,1745.6
MSFT,11/12/20,215.44,21616120,217.21,219.11,214.46
AAPL,11/11/20,119.49,112295000,117.19,119.63,116.44
AMZN,11/11/20,3137.39,4366923,3061.78,3139.145,3050
GOOG,11/11/20,1752.71,1263966,1750,1764.22,1747.365
MSFT,11/11/20,216.55,29440790,212.39,218.04,212.2
AAPL,11/10/20,115.97,138023400,115.55,117.59,114.13
AMZN,11/10/20,3035.02,6590956,3095.02,3114,3019.4828
GOOG,11/10/20,1740.39,2636142,1731.09,1763,1717.3
MSFT,11/10/20,211.01,44045120,214.5,216.5,209.72
AAPL,11/9/20,116.32,154515300,120.5,121.99,116.05
AMZN,11/9/20,3143.74,7190406,3231.03,3289,3112.1057
GOOG,11/9/20,1763,2268270,1790.9,1818.06,1760.02
MSFT,11/9/20,218.39,44394950,224.435,228.12,217.88
AAPL,11/6/20,118.69,114457900,118.32,119.2,116.13
AMZN,11/6/20,3311.37,4647330,3304.64,3322,3232
GOOG,11/6/20,1761.75,1661225,1753.95,1772.43,1740.35
MSFT,11/6/20,223.72,25231900,222.26,224.36,218.03
AAPL,11/5/20,119.03,126387100,117.95,119.62,116.8686
AMZN,11/5/20,3322,5789285,3319.97,3366.8,3288.88
GOOG,11/5/20,1763.37,2065812,1781,1793.64,1750.51
MSFT,11/5/20,223.29,36080140,222.04,224.12,221.15
AAPL,11/4/20,114.95,138235500,114.14,115.59,112.35
AMZN,11/4/20,3241.16,6839041,3159.99,3244.85,3139.73
GOOG,11/4/20,1749.13,3570927,1710.28,1771.365,1706.0301
MSFT,11/4/20,216.39,42311780,214.02,218.32,212.4185
AAPL,11/3/20,110.44,107624400,109.66,111.49,108.73
AMZN,11/3/20,3048.41,4897880,3018.53,3074.9,2980.98
GOOG,11/3/20,1650.21,1661653,1631.78,1661.7,1616.6201
MSFT,11/3/20,206.43,27512030,203.89,208.12,203.12
AAPL,11/2/20,108.77,122866900,109.11,110.68,107.32
AMZN,11/2/20,3004.48,7257350,3061.74,3079.705,2950.12
GOOG,11/2/20,1626.03,2535446,1628.16,1660.77,1616.03
MSFT,11/2/20,202.33,30842160,204.29,205.28,200.12
AAPL,10/30/20,108.86,190573500,111.06,111.99,107.72
AMZN,10/30/20,3036.15,8396081,3157.75,3167.004,3019
GOOG,10/30/20,1621.01,4330862,1672.11,1687,1604.46
MSFT,10/30/20,202.47,36980110,203.5,204.29,199.62
AAPL,10/29/20,115.32,146129200,112.37,116.93,112.2
AMZN,10/29/20,3211.01,6596529,3201.27,3257.25,3164
GOOG,10/29/20,1567.24,2003064,1522.36,1593.71,1522.24
MSFT,10/29/20,204.72,31432560,204.07,207.36,203.37
AAPL,10/28/20,111.2,143937800,115.05,115.43,111.1
AMZN,10/28/20,3162.78,5588330,3249.3,3264.02,3162.47
GOOG,10/28/20,1516.62,1833959,1559.74,1561.35,1514.62
MSFT,10/28/20,202.68,51195590,207.67,208.84,202.1
AAPL,10/27/20,116.6,92276770,115.49,117.28,114.5399
AMZN,10/27/20,3286.33,4291047,3224.94,3291.66,3211.3
GOOG,10/27/20,1604.26,1229002,1595.67,1606.845,1582.78
MSFT,10/27/20,213.25,36700330,211.59,214.67,210.329
AAPL,10/26/20,115.05,111850700,114.01,116.55,112.88
AMZN,10/26/20,3207.04,5901151,3198.74,3282.9799,3153.3
GOOG,10/26/20,1590.45,1853254,1625.01,1638.24,1576.5
MSFT,10/26/20,210.08,37111560,213.85,216.3399,208.1
AAPL,10/23/20,115.04,82572650,116.39,116.55,114.28
AMZN,10/23/20,3204.4,3466687,3191,3205.33,3140
GOOG,10/23/20,1641,1375844,1626.07,1642.36,1620.51
MSFT,10/23/20,216.23,18879610,215.03,216.28,213.16
AAPL,10/22/20,115.75,101988000,117.45,118.04,114.59
AMZN,10/22/20,3176.4,4212005,3189.87,3198.75,3121.94
GOOG,10/22/20,1615.33,1434042,1593.05,1621.99,1585
MSFT,10/22/20,214.89,22351450,213.93,216.055,211.7
AAPL,10/21/20,116.87,89945980,116.67,118.705,116.45
AMZN,10/21/20,3184.94,4592736,3212.5,3233.875,3160
GOOG,10/21/20,1593.31,2568345,1573.33,1618.73,1571.6301
MSFT,10/21/20,214.8,22724910,213.12,216.92,213.12
AAPL,10/20/20,117.51,124423700,116.2,118.98,115.63
AMZN,10/20/20,3217.01,4509678,3222.28,3266,3192.01
GOOG,10/20/20,1555.93,2242572,1527.05,1577.5,1525.67
MSFT,10/20/20,214.65,22753510,215.8,217.37,213.0901
AAPL,10/19/20,115.98,120639300,119.96,120.419,115.66
AMZN,10/19/20,3207.21,5223626,3299.61,3329,3192.735
GOOG,10/19/20,1534.61,1607075,1580.46,1588.15,1528
MSFT,10/19/20,214.22,27625840,220.415,222.3,213.72
AAPL,10/16/20,119.02,115393800,121.28,121.548,118.81
AMZN,10/16/20,3272.71,6474353,3363.23,3399.6606,3160
GOOG,10/16/20,1573.01,1435137,1565.85,1581.13,1563
MSFT,10/16/20,219.66,26057880,220.15,222.29,219.32
AAPL,10/15/20,120.71,112559200,118.72,121.2,118.15
AMZN,10/15/20,3338.65,5223448,3292.01,3355.88,3280
GOOG,10/15/20,1559.13,1540817,1547.15,1575.105,1545.03
MSFT,10/15/20,219.66,22733060,217.1,220.36,216.01
AAPL,10/14/20,121.19,151062300,121,123.03,119.62
AMZN,10/14/20,3363.71,5828916,3447,3464.88,3340
GOOG,10/14/20,1568.08,1930990,1578.59,1587.6841,1550.53
MSFT,10/14/20,220.86,23451710,223,224.22,219.13
AAPL,10/13/20,121.1,262330500,125.27,125.39,119.65
AMZN,10/13/20,3443.63,5744697,3467.99,3492.38,3424.217
GOOG,10/13/20,1571.68,1601043,1583.73,1590,1563.2
MSFT,10/13/20,222.86,28950840,222.72,225.21,220.43
AAPL,10/12/20,124.4,240226800,120.06,125.18,119.2845
AMZN,10/12/20,3442.93,8364198,3349.94,3496.24,3339.55
GOOG,10/12/20,1569.15,2482560,1543,1593.86,1532.57
MSFT,10/12/20,221.4,40461370,218.79,223.86,216.81
AAPL,10/9/20,116.97,100506900,115.28,117,114.92
AMZN,10/9/20,3286.65,4907871,3210,3288.99,3197.83
GOOG,10/9/20,1515.22,1435542,1494.7,1516.52,1489.45
MSFT,10/9/20,215.81,26458050,211.23,215.86,211.23
AAPL,10/8/20,114.97,83477150,116.25,116.4,114.5901
AMZN,10/8/20,3190.55,3174114,3224.99,3233.2944,3174.99
GOOG,10/8/20,1485.93,1187831,1465.09,1490,1465.09
MSFT,10/8/20,210.58,19925840,210.51,211.19,208.32
AAPL,10/7/20,115.08,96848990,114.62,115.55,114.13
AMZN,10/7/20,3195.69,4309439,3135,3200,3132.385
GOOG,10/7/20,1460.29,1746156,1464.29,1468.96,1436
MSFT,10/7/20,209.83,25681050,207.06,210.11,206.72
AAPL,10/6/20,113.16,161498200,115.7,116.12,112.25
AMZN,10/6/20,3099.96,5086857,3165,3182,3090
GOOG,10/6/20,1453.44,1245423,1475.58,1486.76,1448.5901
MSFT,10/6/20,205.91,28554260,208.82,210.18,204.82
AAPL,10/5/20,116.5,106243800,113.91,116.65,113.55
AMZN,10/5/20,3199.2,3775332,3145.84,3202.53,3140.85
GOOG,10/5/20,1486.02,1113257,1466.21,1488.21,1464.27
MSFT,10/5/20,210.38,21331560,207.22,210.41,206.98
AAPL,10/2/20,113.02,144712000,112.89,115.37,112.22
AMZN,10/2/20,3125,5613098,3153.63,3195.7965,3123
GOOG,10/2/20,1458.42,1284071,1462.03,1483.2,1450.92
MSFT,10/2/20,206.19,33154780,208,210.99,205.54
AAPL,10/1/20,116.79,116120400,117.64,117.72,115.83
AMZN,10/1/20,3221.26,4971922,3208,3224,3172
GOOG,10/1/20,1490.09,1779497,1484.27,1499.04,1479.21
MSFT,10/1/20,212.46,27158420,213.49,213.99,211.32
AAPL,9/30/20,115.81,142675200,113.79,117.26,113.62
AMZN,9/30/20,3148.73,4896101,3141.14,3212.88,3133.99
GOOG,9/30/20,1469.6,1701608,1466.8,1489.75,1459.88
MSFT,9/30/20,210.33,33829090,207.73,211.98,206.54
AAPL,9/29/20,114.09,100060500,114.55,115.31,113.57
AMZN,9/29/20,3144.88,3503398,3175.39,3188.26,3132.54
GOOG,9/29/20,1469.33,979102,1470.39,1476.6632,1458.805
MSFT,9/29/20,207.26,24464470,209.35,210.07,206.81
AAPL,9/28/20,114.96,137672400,115.01,115.32,112.78
AMZN,9/28/20,3174.05,4224165,3148.85,3175.04,3117.1684
GOOG,9/28/20,1464.52,2007941,1474.21,1476.8,1449.3012
MSFT,9/28/20,209.44,32004940,210.88,212.57,208.06
AAPL,9/25/20,112.28,149981400,108.43,112.44,107.67
AMZN,9/25/20,3095.13,4615202,3054.86,3101.54,2999
GOOG,9/25/20,1444.96,1323375,1432.63,1450,1413.34
MSFT,9/25/20,207.82,29437310,203.55,209.04,202.54
AAPL,9/24/20,108.22,167743300,105.17,110.25,105
AMZN,9/24/20,3019.79,5529392,2977.79,3069.3,2965
GOOG,9/24/20,1428.29,1450216,1411.03,1443.7088,1409.85
MSFT,9/24/20,203.19,31202490,199.85,205.57,199.2
AAPL,9/23/20,107.12,150718700,111.62,112.11,106.77
AMZN,9/23/20,2999.86,5652665,3120.43,3126.999,2992.3759
GOOG,9/23/20,1415.21,1657350,1458.78,1460.96,1407.7
MSFT,9/23/20,200.59,30803780,207.9,208.1,200.03
AAPL,9/22/20,111.81,183055400,112.68,112.86,109.16
AMZN,9/22/20,3128.99,6948816,3033.835,3133.99,3000.2
GOOG,9/22/20,1465.46,1583201,1450.09,1469.52,1434.53
MSFT,9/22/20,207.42,33517070,205.06,208.1,202.075
AAPL,9/21/20,110.08,195713800,104.54,110.19,103.1
AMZN,9/21/20,2960.47,6117925,2906.5,2962,2871
GOOG,9/21/20,1431.16,2888827,1440.06,1448.36,1406.55
MSFT,9/21/20,202.54,39839660,197.19,202.71,196.38
AAPL,9/18/20,106.84,287104900,110.4,110.88,106.09
AMZN,9/18/20,2954.91,8892580,3031.74,3037.8,2905.54
GOOG,9/18/20,1459.99,3103882,1498.01,1503.0032,1437.13
MSFT,9/18/20,200.39,55225330,202.8,203.65,196.25
AAPL,9/17/20,110.34,178011000,109.72,112.2,108.71
AMZN,9/17/20,3008.73,6449050,3009.25,3029.432,2972.55
GOOG,9/17/20,1495.53,1879751,1496,1508.2984,1470.0001
MSFT,9/17/20,202.91,34011260,200.05,204.33,199.96
AAPL,9/16/20,112.13,155026700,115.23,116,112.04
AMZN,9/16/20,3078.1,4531189,3179.99,3187.238,3074.15
GOOG,9/16/20,1520.9,1312299,1555.54,1562,1519.82
MSFT,9/16/20,205.05,26372460,210.62,210.65,204.64
AAPL,9/15/20,115.54,184642000,118.33,118.829,113.61
AMZN,9/15/20,3156.13,4021535,3136.16,3175.02,3108.92
GOOG,9/15/20,1541.44,1331082,1536,1559.57,1531.835
MSFT,9/15/20,208.78,21823940,208.42,209.78,206.93
AAPL,9/14/20,115.355,140150100,114.72,115.93,112.8
AMZN,9/14/20,3102.97,4529596,3172.937,3187.39,3096
GOOG,9/14/20,1519.28,1696589,1539.005,1563.9999,1515.74
MSFT,9/14/20,205.41,30375770,204.24,209.2,204.03
AAPL,9/11/20,112,180860300,114.57,115.23,110
AMZN,9/11/20,3116.22,5093982,3208.69,3217.3409,3083.98
GOOG,9/11/20,1520.72,1597087,1536,1575.2,1497.36
MSFT,9/11/20,204.03,33620070,207.2,208.63,201.24
AAPL,9/10/20,113.49,182274400,120.36,120.5,112.5
